,term,count
0,senior,72
1,engineer,67
2,inom,32
3,till,31
4,manager,24
5,och,23
6,projektledare,23
7,data,23
8,utvecklare,19
9,project,19
10,developer,19
11,lead,16
12,business,15
13,systemingenjör,13
14,för,13
15,it,12
16,embedded,11
17,med,11
18,konsult,11
19,automation,10
20,machine,10
21,learning,10
22,specialist,10
23,ai,10
24,expert,10
25,teknisk,9
26,product,9
27,engineering,9
28,architect,9
29,net,9
30,av,9
31,and,9
32,designer,8
33,test,8
34,technical,8
35,försvarsindustrin,8
36,stockholm,8
37,software,8
38,analyst,8
39,scrum,8
40,master,8
41,elektronikkonstruktör,8
42,consultant,8
43,i,8
44,system,7
45,systemutvecklare,7
46,lösningsarkitekt,7
47,digital,7
48,automotive,6
49,development,6
50,support,6
51,c,6
52,azure,6
53,devops,6
54,arkitekt,6
55,erfaren,6
56,scientist,6
57,platform,6
58,region,6
59,skåne,6
60,avrop,6
61,java,5
62,delprojektledare,5
63,på,5
64,design,5
65,power,5
66,aws,5
67,application,5
68,pega,5
69,mjukvaruutvecklare,5
70,kravanalytiker,5
71,safety,5
72,analytics,5
73,backend,5
74,kommun,5
75,android,4
76,konstruktör,4
77,sw,4
78,systems,4
79,principal,4
80,r,4
81,management,4
82,solution,4
83,ny,4
84,testare,4
85,konsultuppdrag,4
86,coach,4
87,transportstyrelsen,4
88,for,4
89,security,4
90,cloud,4
91,with,4
92,react,4
93,tech,4
94,fullstackutvecklare,4
95,skånetrafiken,4
96,mechanical,3
97,vehicle,3
98,ml,3
99,quality,3
